DATE,POPTOTUSA647NWDB
1/1/60,180671000
1/1/61,183691000
1/1/62,186538000
1/1/63,189242000
1/1/64,191889000
1/1/65,194303000
1/1/66,196560000
1/1/67,198712000
1/1/68,200706000
1/1/69,202677000
1/1/70,205052000
1/1/71,207661000
1/1/72,209896000
1/1/73,211909000
1/1/74,213854000
1/1/75,215973000
1/1/76,218035000
1/1/77,220239000
1/1/78,222585000
1/1/79,225055000
1/1/80,227225000
1/1/81,229466000
1/1/82,231664000
1/1/83,233792000
1/1/84,235825000
1/1/85,237924000
1/1/86,240133000
1/1/87,242289000
1/1/88,244499000
1/1/89,246819000
1/1/90,249623000
1/1/91,252981000
1/1/92,256514000
1/1/93,259919000
1/1/94,263126000
1/1/95,266278000
1/1/96,269394000
1/1/97,272657000
1/1/98,275854000
1/1/99,279040000
1/1/00,282162411
1/1/01,284968955
1/1/02,287625193
1/1/03,290107933
1/1/04,292805298
1/1/05,295516599
1/1/06,298379912
1/1/07,301231207
1/1/08,304093966
1/1/09,306771529
1/1/10,309327143
1/1/11,311583481
1/1/12,313877662
1/1/13,316059947
1/1/14,318386329
1/1/15,320738994
1/1/16,323071755
1/1/17,325122128
1/1/18,326838199
1/1/19,328329953
1/1/20,331501080
1/1/21,331893745
